Function,Name,Description of peptidase,Photic water # hits/total bp for all 24 metagenomes,Non-photic deep water # hits/total bp for all 83 metagenomes,Marine sediments # hits/total bp for all 16 metagenomes,OMZ # hits/total bp for all 52 metagenomes,Fraction of photic metagenomes with this pfam hit,Fraction of deep water metagenomes with this pfam hit,Fraction of sediments metagenomes with this pfam hit,Fraction of OMZ metagenomes with this pfam hit,,Photic Rel to sediment,Deep water Rel to sediment,Sediment Rel to sediment,OMZ Rel to sediment,SUM of each peptidase group Photic water # hits/total bp for all 24 metagenomes,SUM of each peptidase group Non-photic deep water # hits/total bp for all 83 metagenomes,SUM of each peptidase group Marine sediments # hits/total bp for all 16 metagenomes,SUM of each peptidase group OMZ # hits/total bp for all 52 metagenomes,% of peptidase group relative to all other peptidases in photic metagenome,% of peptidase group relative to all other peptidases in aphotic metagenome,% of peptidase group relative to all other peptidases in sediment metagenome,% of peptidase group relative to all other peptidases in OMZ metagenome
pfam00082,Peptidase_S8 - Subtilase family,extracellular protease,1.09E-06,1.29E-06,2.72E-06,1.54E-06,0.833333333,0.975903614,1,1,,0.401075346,0.474714795,1,0.567725487,,,,,,,,
pfam01364,Peptidase_C25 - Peptidase family C25,extracellular digestion,2.03E-07,4.84E-07,2.50E-06,4.07E-07,0.75,0.963855422,1,1,,0.081146677,0.193957244,1,0.16295204,,,,,,,,
pfam00326,Peptidase_S9 - Prolyl oligopeptidase family,intra- and extra-cellular oligopeptide degradation,1.49E-06,2.02E-06,1.68E-06,1.64E-06,0.75,0.975903614,1,1,,0.887092981,1.203307592,1,0.976709287,,,,,,,,
pfam01546,Peptidase_M20 - Peptidase family M20/M25/M40,"wide range of proteolytic activites in cytoplasm, periplasm, or vacuoles",1.42E-06,1.79E-06,1.60E-06,2.22E-06,1,0.975903614,1,1,,0.889938141,1.117791523,1,1.389687479,,,,,,,,
pfam00814,Peptidase_M22 - Glycoprotease family,Endopeptidase that cleaves only proteins that are O-sialoglycosylated,1.17E-06,1.23E-06,1.27E-06,1.51E-06,0.875,0.975903614,1,1,,0.91499915,0.965185525,1,1.183800875,,,,,,,,
pfam00246,Peptidase_M14 - Zinc carboxypeptidase,Digestive,4.43E-07,6.28E-07,9.62E-07,7.53E-07,0.833333333,0.975903614,1,1,,0.460168898,0.653141639,1,0.782938703,,,,,,,,
pfam01551,Peptidase_M23 - Peptidase family M23,Lyses cell wall peptidoglycan,1.35E-06,1.32E-06,8.95E-07,1.68E-06,0.916666667,0.975903614,1,1,,1.506082187,1.474588368,1,1.881245987,,,,,,,,
pfam02129,Peptidase_S15 - X-Pro dipeptidyl-peptidase (S15 family),intracellular degradative specific for phenylalanine,3.26E-07,5.87E-07,8.30E-07,3.43E-07,0.75,0.975903614,1,0.980769231,,0.392478103,0.706782996,1,0.412918381,,,,,,,,
pfam05343,Peptidase_M42 - M42 glutamyl aminopeptidase,digestive and anaerobic,3.11E-07,2.71E-07,7.71E-07,1.86E-07,0.708333333,0.963855422,1,0.961538462,,0.403033591,0.351841533,1,0.240818479,,,,,,,,
pfam01434,Peptidase_M41 - Peptidase family M41,digestive,8.28E-07,8.50E-07,7.42E-07,6.17E-07,0.916666667,0.975903614,1,1,,1.115992894,1.145746141,1,0.832116098,,,,,,,,
pfam01244,Peptidase_M19 - Membrane dipeptidase (Peptidase family M19),membrane dipeptidase,6.14E-07,9.31E-07,7.23E-07,8.26E-07,0.833333333,0.975903614,1,1,,0.849626074,1.287317638,1,1.141781592,,,,,,,,
pfam00112,Peptidase_C1 - Papain family cysteine protease,digestive,4.51E-07,9.20E-08,5.32E-07,3.91E-08,0.666666667,0.963855422,1,0.576923077,,0.846142827,0.172850263,1,0.073450903,,,,,,,,
pfam02074,Peptidase_M32 - Carboxypeptidase Taq (M32) metallopeptidase,degradative carboxypeptidase from hyperthermophiles,2.04E-07,3.40E-07,5.23E-07,1.63E-07,0.791666667,0.963855422,0.9375,0.942307692,,0.39121668,0.650423617,1,0.312350266,,,,,,,,
pfam00883,"Peptidase_M17 - Cytosol aminopeptidase family, catalytic domain",intracellular degradative,1.09E-06,1.10E-06,4.97E-07,7.67E-07,0.916666667,0.975903614,1,1,,2.191141219,2.214856341,1,1.544528335,,,,,,,,
pfam01432,Peptidase_M3 - Peptidase family M3,intracellular degradation of oligopeptides,7.85E-07,9.85E-07,4.77E-07,7.89E-07,1,0.975903614,0.9375,1,,1.646706373,2.066420432,1,1.653978407,,,,,,,,
pfam02897,"Peptidase_S9_N - Prolyl oligopeptidase, N-terminal beta-propeller domain",intra- and extra-cellular oligopeptide degradation,8.66E-07,1.00E-06,4.15E-07,9.29E-07,0.791666667,0.975903614,0.9375,1,,2.084956057,2.408080494,1,2.236854379,,,,,,,,
pfam03577,Peptidase_C69 - Peptidase family C69,digestive dipeptidase from Lactobacillus,4.62E-08,2.57E-08,3.73E-07,3.21E-08,0.625,0.891566265,0.9375,0.673076923,,0.124043125,0.068954644,1,0.086035058,,,,,,,,
pfam04951,Peptidase_M55 - D-aminopeptidase,"substrate is D-alanine, thought to be a response to starvation in Bacillus",3.93E-08,9.78E-08,3.68E-07,1.26E-07,0.583333333,0.963855422,0.875,0.980769231,,0.106874113,0.26590143,1,0.341901001,,,,,,,,
pfam01136,Peptidase_U32 - Peptidase family U32,"collagenase, endopeptidase",1.39E-07,1.69E-07,2.93E-07,1.67E-07,0.625,0.963855422,1,0.923076923,,0.473880526,0.577655641,1,0.571108455,,,,,,,,
pfam10459,Peptidase_S46 - Peptidase S46,nutritional degradation,3.58E-07,2.63E-07,2.82E-07,1.39E-07,0.666666667,0.975903614,0.9375,0.961538462,,1.269856794,0.933350032,1,0.492353702,,,,,,,,
pfam03415,Peptidase_C11 - Clostripain family,extracellular anaoxic peptdiase,2.36E-08,4.03E-08,2.43E-07,2.66E-08,0.583333333,0.951807229,0.875,0.653846154,,0.097018968,0.165941433,1,0.10949896,,,,,,,,
pfam02789,"Peptidase_M17_N - Cytosol aminopeptidase family, N-terminal domain",intracellular degradative,1.86E-07,2.96E-07,2.16E-07,3.75E-07,0.833333333,0.975903614,1,1,,0.859104834,1.369289132,1,1.734747153,,,,,,,,
pfam07998,Peptidase_M54 - Peptidase family M54,"archaelysin, but are present in other domains as well. Not well-characterized, apparently aminopeptidase",2.77E-08,2.19E-08,2.04E-07,1.91E-08,0.583333333,0.951807229,1,0.576923077,,0.135808483,0.107543497,1,0.093659346,,,,,,,,
pfam02016,Peptidase_S66 - LD-carboxypeptidase,Degrades cell wall products,1.96E-07,2.23E-07,1.95E-07,1.82E-07,0.666666667,0.975903614,0.8125,0.980769231,,1.004693577,1.139779622,1,0.93310305,,,,,,,,
pfam01640,Peptidase_C10 - Peptidase C10 family,"streptopain, anoxic, virulence factor",2.89E-08,8.72E-08,1.80E-07,6.57E-08,0.583333333,0.951807229,0.875,0.884615385,,0.160553564,0.483702786,1,0.364483207,,,,,,,,
pfam00413,Peptidase_M10 - Matrixin,extracellular digestion,1.53E-07,1.86E-07,1.54E-07,4.25E-07,0.708333333,0.975903614,0.8125,0.980769231,,0.991558408,1.207399915,1,2.757474749,,,,,,,,
pfam02127,Peptidase_M18 - Aminopeptidase I zinc metalloprotease (M18),cytosolic degradative,1.68E-07,1.29E-07,1.29E-07,8.41E-08,0.708333333,0.963855422,1,0.884615385,,1.299702071,0.995472504,1,0.651582542,,,,,,,,
pfam03051,Peptidase_C1_2 - Peptidase C1-like family,extracellullar protease,1.11E-07,2.65E-07,1.12E-07,2.63E-07,0.75,0.963855422,0.9375,1,,0.992845312,2.36650671,1,2.349126984,,,,,,,,
pfam03575,Peptidase_S51 - Peptidase family S51,nutritionally degradative dipeptidase,1.58E-07,2.04E-07,9.94E-08,2.07E-07,0.791666667,0.951807229,0.8125,0.980769231,,1.588543462,2.055350603,1,2.079829293,,,,,,,,
pfam02244,Propep_M14 - Carboxypeptidase activation peptide,Digestive,7.42E-08,6.51E-08,8.15E-08,3.75E-08,0.625,0.951807229,0.25,0.653846154,,0.910451388,0.798468274,1,0.460272363,,,,,,,,
pfam12389,Peptidase_M73 - Camelysin metallo-endopeptidase,"collagenolytic, digestive, cell surface",2.57E-08,2.42E-08,6.60E-08,2.55E-08,0.583333333,0.951807229,0.5625,0.576923077,,0.388871848,0.366358118,1,0.385606149,,,,,,,,
pfam01431,Peptidase_M13 - Peptidase family M13,Digestive,1.93E-07,1.72E-07,4.54E-08,7.48E-08,0.625,0.951807229,0.8125,0.923076923,,4.25433938,3.784686847,1,1.647775226,7.95E-07,7.66E-07,2.78E-07,4.33E-07,#REF!,#REF!,#REF!,#REF!
pfam10460,Peptidase_M30 - Peptidase M30,extracellular digestion,1.93E-08,3.05E-08,3.83E-08,3.48E-08,0.583333333,0.951807229,0.625,0.730769231,,0.504154573,0.797002019,1,0.909186079,,,,,,,,
pfam05572,Peptidase_M43 - Pregnancy-associated plasma protein-A,extracellular digestion,1.58E-07,1.10E-07,3.44E-08,1.76E-07,0.625,0.951807229,0.75,0.980769231,,4.593522377,3.201469297,1,5.116527126,Extracellular peptidase,,,,,,,
pfam01400,Astacin - Astacin (Peptidase family M12A),Extracellular Digestive,5.16E-08,3.48E-08,3.43E-08,1.36E-08,0.583333333,0.891566265,0.6875,0.576923077,,1.501921332,1.011924903,1,0.397259082,,,,,,,,
pfam02128,Peptidase_M36 - Fungalysin metallopeptidase (M36),Extracellular digestive enzyme with broad specificity,9.89E-08,1.23E-07,3.25E-08,4.52E-08,0.583333333,0.951807229,0.625,0.730769231,,3.042570822,3.79164833,1,1.391510284,,,,,,,,
pfam09375,Peptidase_M75 - Imelysin,Membrane peptidase,1.08E-07,1.78E-07,1.96E-08,2.82E-08,0.75,0.963855422,0.6875,0.653846154,,5.505444253,9.08414149,1,1.441899236,,,,,,,,
pfam08548,Peptidase_M10_C - Peptidase M10 serralysin C terminal,extracellular digestion,6.83E-08,4.38E-08,1.90E-08,2.93E-08,0.791666667,0.927710843,0.3125,0.653846154,,3.592446921,2.303104036,1,1.543021433,1.13E-06,1.30E-06,6.26E-07,9.55E-07,#REF!,#REF!,#REF!,#REF!
pfam12388,Peptidase_M57 - Dual-action HEIGH metallo-peptidase,extracellular digestive,2.60E-08,3.12E-08,1.78E-08,1.25E-08,0.583333333,0.891566265,0.3125,0.461538462,,1.458378035,1.752032744,1,0.702138217,,,,,,,,
