name,pfam,function
Peptidase_S8 - Subtilase family,pfam00082,extracellular protease
Peptidase_C1 - Papain family cysteine protease,pfam00112,digestive
Peptidase_M14 - Zinc carboxypeptidase,pfam00246,digestive
Peptidase_S9 - Prolyl oligopeptidase family,pfam00326,intra- and extra-cellular oligopeptide degradation
Peptidase_M10 - Matrixin,pfam00413,extracellular digestion
Peptidase_S10 - Serine carboxypeptidase,pfam00450,structural
Peptidase_C3 - 3C cysteine protease (picornain 3C),pfam00548,virus
Peptidase_M24 - Metallopeptidase family M24,pfam00557,Removes methionine from newly synthesized proteins
Peptidase_C2 - Calpain family cysteine protease,pfam00648,Used in cellular processes - not found in archaea
Peptidase_C14 - Caspase domain,pfam00656,cytosolic - involved in apoptosis
Peptidase_M16 - Insulinase (Peptidase family M16),pfam00675,signal processing in mitochondria
Peptidase_S21 - Assemblin (Peptidase family S21),pfam00716,
Peptidase_S24 - Peptidase S24-like,pfam00717,autolysis of DNA binding domain
Peptidase_S11 - D-alanyl-D-alanine carboxypeptidase,pfam00768,cell wall synthesis
Peptidase_C5 - Adenovirus endoprotease,pfam00770,virus
Peptidase_M22 - Glycoprotease family,pfam00814,Endopeptidase that cleaves only proteins that are O-sialoglycosylated
Peptidase_C6 - Helper component proteinase,pfam00851,virus
Peptidase_C4 - Peptidase family C4,pfam00863,virus
"Peptidase_M17 - Cytosol aminopeptidase family, catalytic domain",pfam00883,intracellular degradative
Transpeptidase - Penicillin binding protein transpeptidase domain,pfam00905,
DPPIV_N - Dipeptidyl peptidase IV (DPP IV) N-terminal region,pfam00930,"S9, intra- and extra-cellular oligopeptide degradation"
Peptidase_S3 - Alphavirus core protein,pfam00944,virus
"Peptidase_S7 - Peptidase S7, Flavivirus NS3 serine protease",pfam00949,virus
G_glu_transpept - Gamma-glutamyltranspeptidase,pfam01019,
"Peptidase_C12 - Ubiquitin carboxyl-terminal hydrolase, family 1",pfam01088,ubiquitin modifer
Peptidase_U32 - Peptidase family U32,pfam01136,"collagenase, endopeptidase"
Peptidase_M19 - Membrane dipeptidase (Peptidase family M19),pfam01244,membrane dipeptidase
Peptidase_A8 - Signal peptidase (SPase) II,pfam01252,Signal
Peptidase_S49 - Peptidase family S49,pfam01343,signal peptidase
Peptidase_C25 - Peptidase family C25,pfam01364,extracellular digestion
Astacin - Astacin (Peptidase family M12A),pfam01400,Extracellular Digestive
Peptidase_M2 - Angiotensin-converting enzyme,pfam01401,
Peptidase_M15 - D-ala-D-ala dipeptidase,pfam01427,cell wall synthesis
Peptidase_M13 - Peptidase family M13,pfam01431,Digestive
Peptidase_M3 - Peptidase family M3,pfam01432,intracellular degradation of oligopeptides
Peptidase_M1 - Peptidase family M1,pfam01433,"wide variety of digestive peptidses, intra and extra cellular"
Peptidase_M41 - Peptidase family M41,pfam01434,digestive
Peptidase_M48 - Peptidase family M48,pfam01435,Degrades misfolded proteins
"Peptidase_M4 - Thermolysin metallopeptidase, catalytic domain",pfam01447,
Peptidase_M8 - Leishmanolysin,pfam01457,surface-bound digestive enzyme
Peptidase_C15 - Pyroglutamyl peptidase,pfam01470,intracellular enzyme modifier
Peptidase_A24 - Type IV leader peptidase family,pfam01478,type IV pillus formation
Peptidase_M20 - Peptidase family M20/M25/M40,pfam01546,"wide range of proteolytic activites in cytoplasm, periplasm, or vacuoles"
Peptidase_M23 - Peptidase family M23,pfam01551,Lyses cell wall peptidoglycan
Peptidase_S30 - Potyvirus P1 protease,pfam01577,virus
Peptidase_C10 - Peptidase C10 family,pfam01640,"streptopain, anoxic, virulence factor"
Peptidase_C13 - Peptidase C13 family,pfam01650,legumain modifier
Peptidase_C9 - Peptidase family C9,pfam01707,
Peptidase_M27 - Clostridial neurotoxin zinc protease,pfam01742,
Peptidase_M9 - Collagenase,pfam01752,
Peptidase_A4 - Peptidase A4 family,pfam01828,
Peptidase_A6 - Peptidase A6 family,pfam01829,
Peptidase_C7 - Peptidase C7 family,pfam01830,
Peptidase_C16 - Peptidase C16 family,pfam01831,virus
Peptidase_S66 - LD-carboxypeptidase,pfam02016,Degrades cell wall products
Peptidase_M7 - Streptomyces extracellular neutral proteinase (M7) family,pfam02031,
Peptidase_M29 - Thermophilic metalloprotease (M29),pfam02073,cytoplasmic housekeeping aminopeptidase
Peptidase_M32 - Carboxypeptidase Taq (M32) metallopeptidase,pfam02074,degradative carboxypeptidase from hyperthermophiles
Peptidase_M35 - Deuterolysin metalloprotease (M35) family,pfam02102,
Peptidase_S13 - D-Ala-D-Ala carboxypeptidase 3 (S13) family,pfam02113,Cell wall synthesis and degradation
Peptidase_S39 - Peptidase S39,pfam02122,Virus
Peptidase_M18 - Aminopeptidase I zinc metalloprotease (M18),pfam02127,cytosolic degradative
Peptidase_M36 - Fungalysin metallopeptidase (M36),pfam02128,Extracellular digestive enzyme with broad specificity
Peptidase_S15 - X-Pro dipeptidyl-peptidase (S15 family),pfam02129,intracellular degradative specific for phenylalanine
Peptidase_S15 - X-Pro dipeptidyl-peptidase (S15 family),pfam02129,intracellular degradative specific for phenylalanine
Peptidase_A3 - Cauliflower mosaic virus peptidase (A3),pfam02160,virus
Peptidase_M50 - Peptidase family M50,pfam02163,intramembrane proteolysis - can be sporulation related
Propep_M14 - Carboxypeptidase activation peptide,pfam02244,Digestive
Peptidase_S6 - Immunoglobulin A1 protease,pfam02395,
VanY - D-alanyl-D-alanine carboxypeptidase,pfam02557,
"Peptidase_M17_N - Cytosol aminopeptidase family, N-terminal domain",pfam02789,intracellular degradative
"Peptidase_M4_C - Thermolysin metallopeptidase, alpha-helical domain",pfam02868,
"Peptidase_S9_N - Prolyl oligopeptidase, N-terminal beta-propeller domain",pfam02897,intra- and extra-cellular oligopeptide degradation
"Peptidase_C48 - Ulp1 protease family, C-terminal catalytic domain",pfam02902,ubiquitin modifer not found in archaea
Peptidase_S29 - Hepatitis C virus NS3 protease,pfam02907,virus
Peptidase_C1_2 - Peptidase C1-like family,pfam03051,extracellullar protease
Peptidase_C57 - Vaccinia virus I7 processing peptidase,pfam03290,virus
Peptidase_M44 - Protein G1,pfam03410,
Peptidase_M74 - Penicillin-insensitive murein endopeptidase,pfam03411,"periplasmic, synthesis and degradation of cell walls"
Peptidase_C39 - Peptidase C39 family,pfam03412,modify and export antibiotics
PepSY - Peptidase propeptide and YPEB domain,pfam03413,
Peptidase_C11 - Clostripain family,pfam03415,extracellular anaoxic peptdiase
Peptidase_C54 - Peptidase family C54,pfam03416,intracellular signalling pathways
Peptidase_A25 - Germination protease,pfam03418,degrades small acid-soluble proteins during germination from spore state
Peptidase_U4 - Sporulation factor SpoIIGA,pfam03419,
Peptidase_U9 - Prohead core protein protease,pfam03420,virus
Peptidase_C24 - 2C endopeptidase (C24) cysteine protease family,pfam03510,
Peptidase_C58 - Yersinia/Haemophilus virulence surface antigen,pfam03543,Interferes with signalling pathway
Peptidase_A21 - Peptidase family A21,pfam03566,"Now, N02, couldn't find info"
Peptidase_C50 - Peptidase family C50,pfam03568,Involved in mitosis
Peptidase_C8 - Peptidase family C8,pfam03569,
Peptidase_M49 - Peptidase family M49,pfam03571,cytosolic housekeeping
Peptidase_S41 - Peptidase family S41,pfam03572,Degrades misfolded proteins
Peptidase_S48 - Peptidase family S48,pfam03574,
Peptidase_S51 - Peptidase family S51,pfam03575,nutritionally degradative dipeptidase
Peptidase_S58 - Peptidase family S58,pfam03576,
Peptidase_C69 - Peptidase family C69,pfam03577,digestive dipeptidase from Lactobacillus
"YkuD - L,D-transpeptidase catalytic domain",pfam03734,
"Peptidase_C25_C - Peptidase family C25, C terminal ig-like domain",pfam03785,Removed to avoid double-counting of C25
Nucleoporin2 - Nucleoporin autopeptidase,pfam04096,
PPC - Bacterial pre-peptidase C-terminal domain,pfam04151,
Zn_peptidase - Putative neutral zinc metallopeptidase,pfam04228,
Peptidase_A22B - Signal peptide peptidase,pfam04258,Signal
Zn_peptidase_2 - Putative neutral zinc metallopeptidase,pfam04298,
Peptidase_M28 - Peptidase family M28,pfam04389,"wide variety of functions, including non-peptidses"
BSP - Peptidase of plants and bacteria,pfam04450,
SPC22 - Signal peptidase subunit,pfam04573,Signal
Peptidase_U35 - Caudovirus prohead protease,pfam04586,virus
Peptidase_M55 - D-aminopeptidase,pfam04951,"substrate is D-alanine, thought to be a response to starvation in Bacillus"
Peptidase_M16_C - Peptidase M16 inactive domain,pfam05193,signal processing in mitochondria
"AMP_N - Aminopeptidase P, N-terminal domain",pfam05195,
MecA_N - NTF2-like N-terminal transpeptidase domain,pfam05223,
Peptidase_M61 - M61 glycyl aminopeptidase,pfam05299,signal procesing
Peptidase_M26_N - M26 IgA1-specific Metallo-endopeptidase N-terminal region,pfam05342,
Peptidase_M42 - M42 glutamyl aminopeptidase,pfam05343,digestive and anaerobic
Peptidase_C23 - Carlavirus endopeptidase,pfam05379,virus
Peptidase_A17 - Pao retrotransposon peptidase,pfam05380,transposon
Peptidase_C21 - Tymovirus endopeptidase,pfam05381,virus
Carbpep_Y_N - Carboxypeptidase Y pro-peptide,pfam05388,
Peptidase_C27 - Rubella virus endopeptidase,pfam05407,virus
Peptidase_C28 - Foot-and-mouth virus L-proteinase,pfam05408,virus
Peptidase_C30 - Coronavirus endopeptidase C30,pfam05409,virus
Peptidase_C31 - Porcine arterivirus-type cysteine proteinase alpha,pfam05410,virus
Peptidase_C32 - Equine arteritis virus putative proteinase,pfam05411,virus
Peptidase_C33 - Equine arterivirus Nsp2-type cysteine proteinase,pfam05412,virus
Peptidase_C34 - Putative closterovirus papain-like endopeptidase,pfam05413,virus
Peptidase_C36 - Beet necrotic yellow vein furovirus-type papain-like endopeptidase,pfam05415,virus
Peptidase_C37 - Southampton virus-type processing peptidase,pfam05416,virus
Peptidase_C41 - Hepatitis E cysteine protease,pfam05417,
Peptidase_C42 - Beet yellows virus-type papain-like endopeptidase C42,pfam05533,virus
Peptidase_C47 - Staphopain peptidase C47,pfam05543,anoxic protease
Peptidase_M6 - Immune inhibitor A peptidase M6,pfam05547,
Peptidase_M11 - Gametolysin peptidase M11,pfam05548,
Peptidase_C53 - Pestivirus Npro endopeptidase C53,pfam05550,virus
Peptidase_M56 - BlaR1 peptidase M56,pfam05569,response to antibiotics
Peptidase_M43 - Pregnancy-associated plasma protein-A,pfam05572,extracellular digestion
Peptidase_S37 - PS-10 peptidase S37,pfam05576,transglutamine processing peptide
Peptidase_S28 - Serine carboxypeptidase S28,pfam05577,lysosome peptidase
Peptidase_S31 - Pestivirus NS3 polyprotein peptidase S31,pfam05578,virus
Peptidase_S32 - Equine arteritis virus serine endopeptidase S32,pfam05579,virus
Peptidase_S55 - SpoIVB peptidase S55,pfam05580,sporulation
Peptidase_U57 - YabG peptidase U57,pfam05582,
Peptidase_M13_N - Peptidase family M13,pfam05649,kept out because it repeats M13
Peptidase_C97 - PPPDE putative peptidase domain,pfam05903,Intracellular non-degradative functions
Phage_GPO - Phage capsid scaffolding protein (GPO) serine peptidase,pfam05929,virus
Peptidase_M15_2 - Bacterial protein of unknown function (DUF882),pfam05951,
Peptidase_C93 - Bacterial transglutaminase-like cysteine proteinase BTLCP,pfam06035,transglutamine processing peptide
Peptidase_M90 - Glucose-regulated metallo-peptidase M90,pfam06167,
Prophage_tail - Prophage endopeptidase tail,pfam06605,virus
SPC12 - Microsomal signal peptidase 12 kDa subunit (SPC12),pfam06645,Signal
SPC25 - Microsomal signal peptidase 25 kDa subunit (SPC25),pfam06703,Signal
DiS_P_DiS - Bacterial Peptidase A24 N-terminal domain,pfam06750,type IV pillus formation
Arc_PepC - Archaeal Peptidase A24 C-terminal Domain,pfam06819,type IV pillus formation
Arc_PepC_II - Archaeal Peptidase A24 C-terminus Type II,pfam06847,type IV pillus formation
Peptidase_S80 - Bacteriophage T4-like capsid assembly protein (Gp20),pfam07230,virus
Peptidase_M26_C - M26 IgA1-specific Metallo-endopeptidase C-terminal region,pfam07580,
M20_dimer - Peptidase dimerisation domain,pfam07687,Removed to avoid double-counting of M20
Peptidase_C26 - Peptidase C26,pfam07722,lysosomal degradative peptidase
Peptidase_C78 - Peptidase family C78,pfam07910,Ubiquitin modifier
"DAP_B - D-aminopeptidase, domain B",pfam07930,
"DAP_C - D-aminopeptidase, domain C",pfam07932,
Peptidase_M54 - Peptidase family M54,pfam07998,"archaelysin, but are present in other domains as well. Not well-characterized, apparently aminopeptidase"
Propeptide_C1 - Peptidase family C1 propeptide,pfam08127,"didn't count, because it's propeptide, not peptide"
Peptidase_S64 - Peptidase family S64,pfam08192,Signal
Peptidase_M15_3 - Peptidase M15,pfam08291,cell wall synthesis
M16C_assoc - Peptidase M16C associated,pfam08367,signal processing in mitochondria
Peptidase_M3_N - Oligopeptidase F,pfam08439,
Peptidase_M9_N - Peptidase family M9 N-terminal,pfam08453,
Peptidase_S49_N - Peptidase family S49 N-terminal,pfam08496,Signal
PepX_C - X-Pro dipeptidyl-peptidase C-terminal non-catalytic domain,pfam08530,
Peptidase_M10_C - Peptidase M10 serralysin C terminal,pfam08548,extracellular digestion
"PepX_N - X-Prolyl dipeptidyl aminopeptidase PepX, N-terminal",pfam09168,
Peptidase_M75 - Imelysin,pfam09375,Membrane peptidase
Peptidase_M64 - IgA Peptidase M64,pfam09471,
Peptidase_M76 - Peptidase M76 family,pfam09768,ATPase processing
Peptidase_C65 - Peptidase C65 Otubain,pfam10275,Release ubiquitin from polyubiquitin
Peptidase_S46 - Peptidase S46,pfam10459,nutritional degradation
Peptidase_M30 - Peptidase M30,pfam10460,extracellular digestion
Peptidase_S68 - Peptidase S68,pfam10461,
Peptidase_M66 - Peptidase M66,pfam10462,cell protection
Peptidase_U49 - Peptidase U49,pfam10463,
Peptidase_U40 - Peptidase U40,pfam10464,
"Peptidase_S26 - Signal peptidase, peptidase S26",pfam10502,Signal
Peptidase_C80 - Peptidase C80 family,pfam11713,
"Peptidase_G2 - Peptidase_G2, IMC autoproteolytic cleavage domain",pfam11962,
Metallopep - Putative peptidase family,pfam12044,
Peptidase_C62 - Gill-associated viral 3C-like peptidase,pfam12380,virus
Peptidase_C3G - Tungro spherical virus-type peptidase,pfam12381,virus
Peptidase_A2E - Retrotransposon peptidase,pfam12382,transposon
Peptidase_A2B - Ty3 transposon peptidase,pfam12384,transposon
Peptidase_C70 - Papain-like cysteine protease AvrRpt2,pfam12385,
Peptidase_C71 - Pseudomurein endo-isopeptidase Pei,pfam12386,
Peptidase_C74 - Pestivirus NS2 peptidase,pfam12387,virus
Peptidase_M57 - Dual-action HEIGH metallo-peptidase,pfam12388,extracellular digestive
Peptidase_M73 - Camelysin metallo-endopeptidase,pfam12389,"collagenolytic, digestive, cell surface"
TPPII - Tripeptidyl peptidase II,pfam12580,
